start,duration,value
2023-07-28T21:18:00+02:00,[60],[0]
2023-07-28T21:20:00+02:00,"[60,60,60,60,60,60,60]","[24.34,28.41,7.14,14.98,7.06,37.72,6.04]"
2023-07-28T21:36:00+02:00,[60],[5.13]
2023-07-28T22:01:00+02:00,[60],[5.76]
2023-07-28T22:10:01+02:00,"[59,60,60,60,60,60,60,60,60,60,60,60]","[40.25,18.89,22,39.87,28.77,0,28.38,16.73,0,0,0,0]"
2023-07-28T22:24:00+02:00,"[60,60]","[4.99,36.89]"
2023-07-28T22:27:00+02:00,[60],[9.84]
2023-07-28T22:29:00+02:00,"[60,60,60,60,60,60,60]","[28.39,0,7.06,0,0,41.55,13.81]"
2023-07-28T22:37:00+02:00,[60],[16.83]
2023-07-28T23:09:00+02:00,"[60,60]","[0,7.32]"
2023-07-28T23:37:00+02:00,[60],[5.43]
2023-07-28T23:42:00+02:00,"[60,60]","[8,19.18]"
2023-07-28T23:45:00+02:00,"[60,60,60]","[48.54,0,9.1]"
2023-07-28T23:51:00+02:00,"[60,60,60,60]","[22.83,16.6,0,7.17]"
2023-07-28T23:57:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,5.03,5.07,0,0,5.63,14.92,14.65,20.59,22.2,83.22,71,9.63,79.72,81.33,17.43,0]"
2023-07-28T22:09:09+02:00,[50],[19.078]
2023-07-28T23:44:25+02:00,[34],[4.579]
2023-07-29T01:00:18+02:00,[41],[16.026]
2023-07-29T00:18:00+02:00,"[60,60,60,60]","[21.19,0,11.61,0]"
2023-07-29T00:24:00+02:00,[60],[0]
2023-07-29T00:32:00+02:00,[60],[0]
2023-07-29T00:43:00+02:00,[60],[5.33]
2023-07-29T00:49:00+02:00,[60],[4.66]
2023-07-29T00:52:00+02:00,[60],[15]
2023-07-29T00:56:00+02:00,[60],[4.99]
2023-07-29T01:01:00+02:00,"[60,60,60]","[29.8,9.14,12.66]"
2023-07-29T01:05:00+02:00,"[60,60]","[9.2,9.24]"
2023-07-29T01:08:00+02:00,[60],[0]
2023-07-29T01:10:00+02:00,"[60,60]","[7.06,43.92]"
2023-07-29T01:36:00+02:00,[60],[5.94]
2023-07-29T01:41:00+02:00,[60],[11.33]
2023-07-29T01:46:00+02:00,[60],[12.28]
2023-07-29T02:11:00+02:00,[60],[5.28]
2023-07-29T13:28:00+02:00,[60],[8.3]
2023-07-29T13:33:00+02:00,[60],[15.74]
2023-07-29T14:06:00+02:00,[60],[13.43]
2023-07-27T15:46:00+02:00,[21],[3.053]
2023-07-27T16:13:01+02:00,[58],[22.131]
2023-07-27T16:14:00+02:00,"[60,57]","[22.894,22.131]"
2023-07-27T16:17:16+02:00,[43],[16.789]
2023-07-27T16:18:00+02:00,[48],[18.315]
2023-07-27T16:19:00+02:00,"[60,60,60,35]","[83.755,89.734,15.263,7.632]"
2023-07-27T16:23:00+02:00,[16],[6.869]
2023-07-27T16:51:00+02:00,"[60,60]","[10.87,6.25]"
2023-07-27T17:00:00+02:00,[60],[4.81]
2023-07-27T17:11:00+02:00,[60],[10.84]
2023-07-27T17:17:00+02:00,"[60,60,60,60,60,60,60]","[8.36,9.99,12.34,6.17,4.69,0,0]"
2023-07-27T17:24:00+02:00,[60],[7.52]
2023-07-27T17:32:00+02:00,"[60,60,60]","[0,0,10.62]"
2023-07-27T17:49:00+02:00,[60],[6.85]
2023-07-27T18:17:00+02:00,[60],[5.43]
2023-07-27T18:50:00+02:00,"[60,60,60,60]","[29.3,27.35,10.05,0]"
2023-07-27T19:26:00+02:00,[60],[7.12]
2023-07-27T19:47:00+02:00,[60],[5.23]
2023-07-27T20:07:00+02:00,[60],[7.39]
2023-07-27T20:40:49+02:00,[10],[1.527]
2023-07-27T20:41:00+02:00,"[60,60,60]","[12.56,5.94,36.71]"
2023-07-27T20:48:00+02:00,[60],[26.45]
2023-07-27T20:50:00+02:00,[60],[5.4]
2023-07-27T20:59:00+02:00,[60],[19.69]
2023-07-27T21:08:00+02:00,"[60,60]","[0,7.35]"
2023-07-27T21:46:00+02:00,[60],[6.1]
2023-07-27T22:04:00+02:00,[60],[4.77]
2023-07-27T22:06:00+02:00,[60],[6.25]
2023-07-27T22:35:00+02:00,"[60,60,60,60,60,60,60,60]","[5.4,8.16,6.37,32.43,7.53,17.85,15.6,9.55]"
2023-07-27T22:45:00+02:00,"[60,60]","[11.02,33.17]"
2023-07-27T22:49:00+02:00,"[60,60]","[16.52,10.7]"
2023-07-27T22:52:00+02:00,[60],[29.4]
2023-07-27T22:54:00+02:00,[60],[7.62]
2023-07-27T22:56:00+02:00,[60],[4.77]
2023-07-27T23:05:00+02:00,[60],[4.77]
2023-07-28T06:50:00+02:00,"[60,60,60]","[7.66,7.3,16.329]"
2023-07-28T08:21:00+02:00,[60],[4.55]
2023-07-28T08:31:00+02:00,"[60,60,60]","[24.89,8.16,8.53]"
2023-07-28T10:28:00+02:00,[60],[5.76]
2023-07-28T10:39:00+02:00,[60],[4.77]
2023-07-28T10:52:00+02:00,[60],[5.33]
2023-07-28T11:18:00+02:00,[60],[8.93]
2023-07-28T11:21:00+02:00,[60],[21.63]
2023-07-28T11:25:00+02:00,"[60,60,60,60,60]","[13.29,5.18,12.8,9.67,7.77]"
2023-07-28T13:30:00+02:00,"[60,60]","[7.45,9.49]"
2023-07-28T13:44:13+02:00,[46],[6.105]
2023-07-28T14:27:00+02:00,[60],[31.288]
2023-07-28T14:36:06+02:00,[53],[20.605]
2023-07-28T15:20:15+02:00,[44],[12.973]
2023-07-28T15:21:00+02:00,[15],[4.579]
2023-07-28T15:31:00+02:00,[49],[6.105]
2023-07-28T13:45:00+02:00,[60],[34.25]
2023-07-28T13:48:00+02:00,[60],[7.18]
2023-07-28T14:09:00+02:00,"[60,60]","[8.9,7.06]"
2023-07-28T14:12:00+02:00,"[60,60,60]","[11.17,16.1,8.3]"
2023-07-28T14:16:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60]","[12.62,8.9,18.57,43.76,21.63,15.68,39.42,7.39,18.09,8.58,59.77]"
2023-07-28T14:28:00+02:00,"[60,60,60,60,60,60,60,60]","[65.31,42.71,13.09,52.21,6.49,10.11,78.46,26.78]"
2023-07-28T14:37:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[25.98,10.45,23.82,27.27,6.68,43.69,30.29,0,0,5.23,20.97,4.18,8.119,9.89,0,6.81,6.9,0,0,0,0,0,0,0,0,0,0,12.43,51.01,6.9,37.12,4.42,0]"
2023-07-28T15:24:00+02:00,[60],[5.03]
2023-07-28T15:26:00+02:00,[60],[9.87]
2023-07-28T15:30:00+02:00,[60],[11.43]
2023-07-28T15:33:00+02:00,[60],[12.24]
2023-07-28T15:39:00+02:00,[60],[6.36]
2023-07-28T15:44:00+02:00,"[60,60,60,60,60,60,60,60,60,60]","[13.43,8.23,52.84,18.21,5.28,15.68,15.14,60.41,16.42,8.9]"
2023-07-28T15:56:00+02:00,"[60,60,60]","[19.71,24.21,37.24]"
2023-07-28T16:42:00+02:00,"[60,60]","[8.9,13.81]"
