start,duration,value
2023-07-30T09:25:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,3240,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60]","[34,103,106,69,132,131,91,39,21,44,34,90,143,106,22,51,85,104,132,81,37,65,90,94,97,53,41,69,21,63,98,95,123,123,91,119,57,7,46,103,117,79,66,64,21,25,21,77,129,98,90,53,16,32,122,77,3,-6,10,13,15,61,28,43,38,8,-6,-10,18,27,13,-5,-14,-10,-6,10,11,22,60,51,56,97,65,41,14,3,-5,7,77,35,17,51,119,135,82,76,71,96,72,1,45,47,7,-3,0,6,62,47,49,75,22,24,75,95,100,64,88,34,90,86,57,132,150,76,12,68,65]"
2023-07-30T12:25:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[5,1,4,9,6,-8,13,66,40,36,58,124,113,135,121,111,127,126,136,135,112,104,102,93,97]"
2023-07-30T12:50:01+02:00,"[6899,60,60,60,60,60]","[97,58,60,116,109,144]"
