start,duration,value
2023-07-28T21:14:00+02:00,"[60,60,60,60]","[1,3.86,4.77,2.009]"
2023-07-28T21:18:00+02:00,[60],[1]
2023-07-28T21:20:00+02:00,"[60,60,60,60,60,60,60]","[1.94,2.16,1.23,1.58,1.26,2.48,1.23]"
2023-07-28T21:36:00+02:00,[60],[1.17]
2023-07-28T22:01:00+02:00,[60],[1.181]
2023-07-28T22:10:01+02:00,"[59,60,60,60,60,60,60,60,60,60,60,60]","[2.62,1.71,1.77,2.49,2.14,1,2.111,1.63,1,1,1,1]"
2023-07-28T22:24:00+02:00,"[60,60]","[1.16,2.45]"
2023-07-28T22:27:00+02:00,[60],[1.37]
2023-07-28T22:29:00+02:00,"[60,60,60,60,60,60,60]","[2.08,1,1.26,1,1,2.64,1.59]"
2023-07-28T22:37:00+02:00,[60],[1.6]
2023-07-28T23:09:00+02:00,"[60,60]","[1,1.28]"
2023-07-28T23:37:00+02:00,[60],[1.17]
2023-07-28T23:42:00+02:00,"[60,60]","[1.29,1.77]"
2023-07-28T23:45:00+02:00,"[60,60,60]","[3.17,1,1.33]"
2023-07-28T23:51:00+02:00,"[60,60,60,60]","[1.86,1.58,1,1.24]"
2023-07-28T23:57:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[1,1,1,1,1,1.16,1.38,1,1,1.39,1.83,1.73,2,1.81,4.32,3.9,1.33,4.33,4.44,1.95,1]"
2023-07-28T22:09:09+02:00,[50],[1]
2023-07-28T23:44:25+02:00,[34],[1]
2023-07-29T01:00:18+02:00,[41],[1]
2023-07-29T00:18:00+02:00,"[60,60,60,60]","[1.78,1,1.39,1]"
2023-07-29T00:24:00+02:00,[60],[1]
2023-07-29T00:32:00+02:00,[60],[1]
2023-07-29T00:43:00+02:00,[60],[1.19]
2023-07-29T00:49:00+02:00,[60],[1.15]
2023-07-29T00:52:00+02:00,[60],[1.5]
2023-07-29T00:56:00+02:00,[60],[1.16]
2023-07-29T01:01:00+02:00,"[60,60,60]","[2.091,1.35,1.44]"
2023-07-29T01:05:00+02:00,"[60,60]","[1.34,1.31]"
2023-07-29T01:08:00+02:00,[60],[1]
2023-07-29T01:10:00+02:00,"[60,60]","[1.26,2.54]"
2023-07-29T01:36:00+02:00,[60],[1.19]
2023-07-29T01:41:00+02:00,[60],[1.431]
2023-07-29T01:46:00+02:00,[60],[1.45]
2023-07-29T02:11:00+02:00,[60],[1.17]
2023-07-29T13:28:00+02:00,[60],[1.249]
2023-07-29T13:33:00+02:00,[60],[1.473]
2023-07-29T14:06:00+02:00,[60],[1.403]
2023-07-29T02:40:00+02:00,"[120,1140,660,180]","[0,0,0,0]"
2023-07-29T03:15:00+02:00,"[600,2460,300,840,1440,3660]","[0,0,0,0,0,0]"
2023-07-29T05:50:00+02:00,"[2400,1380,2280,600,180,1260,240,300,60,1080]","[0,0,0,0,0,0,0,0,0,0]"
2023-07-29T08:33:00+02:00,"[1560,480,1080,300,1200,1920,1080,420,2100,420]","[0,0,0,0,0,0,0,0,0,0]"
2023-07-29T11:29:00+02:00,"[1680,2460,2280,240,240,60]","[0,0,0,0,0,0]"
2023-07-27T15:46:00+02:00,[21],[1]
2023-07-27T16:13:01+02:00,[58],[1]
2023-07-27T16:14:00+02:00,"[60,57]","[1,1]"
2023-07-27T16:17:16+02:00,[43],[1]
2023-07-27T16:18:00+02:00,[48],[1]
2023-07-27T16:19:00+02:00,"[60,60,60,35]","[1,1,1,1]"
2023-07-27T16:23:00+02:00,[16],[1]
2023-07-27T16:51:00+02:00,"[60,60]","[1.4,1.2]"
2023-07-27T17:00:00+02:00,[60],[1.16]
2023-07-27T17:11:00+02:00,[60],[1.37]
2023-07-27T17:17:00+02:00,"[60,60,60,60,60,60,60]","[1.3,1.31,1.45,1.2,1.15,1,1]"
2023-07-27T17:24:00+02:00,[60],[1.27]
2023-07-27T17:32:00+02:00,"[60,60,60]","[1,1,1.36]"
2023-07-27T17:49:00+02:00,[60],[1.23]
2023-07-27T18:17:00+02:00,[60],[1.17]
2023-07-27T18:50:00+02:00,"[60,60,60,60]","[2.111,1.97,1.38,1]"
2023-07-27T19:26:00+02:00,[60],[1.24]
2023-07-27T19:47:00+02:00,[60],[1.17]
2023-07-27T20:07:00+02:00,[60],[1.25]
2023-07-27T20:40:49+02:00,[10],[1]
2023-07-27T20:41:00+02:00,"[60,60,60]","[1.44,1.19,2.4]"
2023-07-27T20:48:00+02:00,[60],[1.97]
2023-07-27T20:50:00+02:00,[60],[1.19]
2023-07-27T20:59:00+02:00,[60],[1.73]
2023-07-27T21:08:00+02:00,"[60,60]","[1,1.23]"
2023-07-27T21:46:00+02:00,[60],[1.21]
