start,duration,value
2023-07-28T23:37:00+02:00,[60],[7]
2023-07-28T23:42:00+02:00,"[60,60]","[10,23]"
2023-07-28T23:45:00+02:00,"[60,60,60]","[59,0,12]"
2023-07-28T23:51:00+02:00,"[60,60,60,60]","[30,20,0,8]"
2023-07-28T23:57:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,6,7,0,0,7,21,20,25,26,105,88,12,103,102,22,0]"
2023-07-28T22:09:09+02:00,[50],[25]
2023-07-28T23:44:25+02:00,[34],[6]
2023-07-29T01:00:18+02:00,[41],[21]
2023-07-29T00:18:00+02:00,"[60,60,60,60]","[25,0,14,0]"
2023-07-29T00:24:00+02:00,[60],[0]
2023-07-29T00:32:00+02:00,[60],[0]
2023-07-29T00:43:00+02:00,[60],[7]
2023-07-29T00:49:00+02:00,[60],[6]
2023-07-29T00:52:00+02:00,[60],[16]
2023-07-29T00:56:00+02:00,[60],[6]
2023-07-29T01:01:00+02:00,"[60,60,60]","[36,12,15]"
2023-07-29T01:05:00+02:00,"[60,60]","[11,12]"
2023-07-29T01:08:00+02:00,[60],[0]
2023-07-29T01:10:00+02:00,"[60,60]","[9,52]"
2023-07-29T01:36:00+02:00,[60],[7]
2023-07-29T01:41:00+02:00,[60],[15]
2023-07-29T01:46:00+02:00,[60],[16]
2023-07-29T02:11:00+02:00,[60],[6]
2023-07-29T13:28:00+02:00,[60],[10]
2023-07-29T13:33:00+02:00,[60],[19]
2023-07-29T14:06:00+02:00,[60],[17]
2023-07-27T15:46:00+02:00,[21],[4]
2023-07-27T16:13:01+02:00,[58],[29]
2023-07-27T16:14:00+02:00,"[60,57]","[30,29]"
2023-07-27T16:17:16+02:00,[43],[22]
2023-07-27T16:18:00+02:00,[48],[24]
2023-07-27T16:19:00+02:00,"[60,60,60,35]","[105,109,20,10]"
2023-07-27T16:23:00+02:00,[16],[9]
2023-07-27T16:51:00+02:00,"[60,60]","[14,8]"
2023-07-27T17:00:00+02:00,[60],[6]
2023-07-27T17:11:00+02:00,[60],[13]
2023-07-27T17:17:00+02:00,"[60,60,60,60,60,60,60]","[11,6,15,8,6,0,0]"
2023-07-27T17:24:00+02:00,[60],[10]
2023-07-27T17:32:00+02:00,"[60,60,60]","[0,0,13]"
