start,duration,value
2023-07-30T14:35:00+02:00,[60],[6833]
2023-07-30T14:37:00+02:00,"[60,60,60,60,60]","[6873,6817,7322,7451,6675]"
2023-07-28T16:45:00+02:00,[60],[7393]
2023-07-28T16:47:00+02:00,"[60,60]","[6881,7450]"
2023-07-28T16:54:00+02:00,"[60,60]","[7514,6833]"
2023-07-28T16:58:00+02:00,"[60,60,60,60]","[7329,7385,7386,7962]"
2023-07-28T17:04:00+02:00,[60],[6802]
2023-07-28T17:08:00+02:00,"[60,60]","[7387,6753]"
2023-07-28T17:11:00+02:00,"[60,60,60,60,60]","[7393,7385,7329,6746,7457]"
2023-07-28T17:18:00+02:00,[60],[7273]
2023-07-28T17:23:00+02:00,"[60,60]","[6818,6659]"
2023-07-28T17:26:00+02:00,"[60,60,60,60,60,60,60,60,60]","[7378,8018,7386,7370,7393,8020,7443,7970,7322]"
2023-07-28T17:40:00+02:00,"[60,60,60]","[7337,7330,6875]"
2023-07-28T18:03:00+02:00,"[60,60]","[6939,5688]"
2023-07-28T17:10:12+02:00,[47],[0]
2023-07-28T18:01:53+02:00,[6],[0]
2023-07-28T18:02:00+02:00,[53],[0]
2023-07-28T18:05:00+02:00,"[60,60,60,60,60,30]","[0,0,0,0,0,0]"
2023-07-28T18:12:24+02:00,[35],[0]
2023-07-28T18:13:00+02:00,"[60,60,54]","[0,0,0]"
2023-07-28T18:19:32+02:00,[27],[0]
2023-07-28T18:20:00+02:00,"[60,26]","[0,0]"
2023-07-28T18:24:30+02:00,[29],[0]
2023-07-28T18:25:00+02:00,[54],[0]
2023-07-28T18:26:17+02:00,[42],[0]
2023-07-28T18:27:00+02:00,[10],[0]
2023-07-28T18:28:43+02:00,[16],[0]
2023-07-28T18:29:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,54]","[0,0,0,0,0,0,0,0,0,0,0,0]"
2023-07-28T19:44:17+02:00,[42],[0]
2023-07-28T19:45:00+02:00,[17],[0]
2023-07-28T21:13:00+02:00,[60],[0]
2023-07-28T19:49:00+02:00,[60],[7252]
2023-07-28T19:51:00+02:00,"[60,61,59,60]","[5364,6940,7515,7508]"
2023-07-28T20:00:00+02:00,[60],[7394]
2023-07-28T21:00:00+02:00,[60],[6769]
2023-07-28T21:07:00+02:00,[60],[7322]
2023-07-28T21:12:00+02:00,[60],[7459]
2023-07-28T21:14:00+02:00,"[60,60,60,60]","[7321,5374,4927,7005]"
2023-07-28T21:18:00+02:00,[60],[8092]
2023-07-28T21:20:00+02:00,"[60,60,60,60,60,60,60]","[6500,6323,6761,6826,6698,5754,6683]"
2023-07-28T21:36:00+02:00,[60],[6769]
2023-07-28T22:01:00+02:00,[60],[7402]
2023-07-28T22:10:01+02:00,"[59,60,60,60,60,60,60,60,60,60,60,60]","[5748,7003,6257,5923,6428,8076,6435,6940,8092,8019,8035,8035]"
2023-07-28T22:24:00+02:00,"[60,60]","[7394,5931]"
2023-07-28T22:27:00+02:00,[60],[6265]
2023-07-28T22:29:00+02:00,"[60,60,60,60,60,60,60]","[6292,8084,7516,8019,8091,5932,6257]"
2023-07-28T22:37:00+02:00,[60],[6754]
2023-07-28T23:09:00+02:00,"[60,60]","[7329,6746]"
2023-07-28T23:37:00+02:00,[60],[7259]
2023-07-28T23:42:00+02:00,"[60,60]","[7273,6378]"
2023-07-28T23:45:00+02:00,"[60,60,60]","[5868,6200,6698]"
2023-07-28T23:51:00+02:00,"[60,60,60,60]","[6370,6866,8076,8084]"
2023-07-28T23:57:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[8027,8077,8077,8142,8141,8142,8142,8150,8142,8084,7638,7638,6938,6946,4854,4927,7345,4927,4927,6819,7313]"
2023-07-28T22:09:09+02:00,[50],[0]
2023-07-28T23:44:25+02:00,[34],[0]
2023-07-29T01:00:18+02:00,[41],[0]
2023-07-29T00:18:00+02:00,"[60,60,60,60]","[6875,7257,6737,6673]"
2023-07-29T00:24:00+02:00,[60],[7257]
2023-07-29T00:32:00+02:00,[60],[7257]
2023-07-29T00:43:00+02:00,[60],[7273]
2023-07-29T00:49:00+02:00,[60],[6769]
2023-07-29T00:52:00+02:00,[60],[6810]
2023-07-29T00:56:00+02:00,[60],[6200]
2023-07-29T01:01:00+02:00,"[60,60,60]","[6369,6825,6874]"
2023-07-29T01:05:00+02:00,"[60,60]","[6257,6769]"
2023-07-29T01:08:00+02:00,[60],[7321]
2023-07-29T01:10:00+02:00,"[60,60]","[7330,5786]"
2023-07-29T01:36:00+02:00,[60],[6769]
2023-07-29T01:41:00+02:00,[60],[6186]
2023-07-29T01:46:00+02:00,[60],[6249]
2023-07-29T02:11:00+02:00,[60],[6705]
2023-07-29T13:28:00+02:00,[60],[7450]
2023-07-29T13:33:00+02:00,[60],[6810]
2023-07-29T14:06:00+02:00,[60],[7443]
2023-07-27T15:46:00+02:00,[21],[0]
2023-07-27T16:13:01+02:00,[58],[0]
2023-07-27T16:14:00+02:00,"[60,57]","[0,0]"
2023-07-27T16:17:16+02:00,[43],[0]
2023-07-27T16:18:00+02:00,[48],[0]
2023-07-27T16:19:00+02:00,"[60,60,60,35]","[0,0,0,0]"
2023-07-27T16:23:00+02:00,[16],[0]
2023-07-27T16:51:00+02:00,"[60,60]","[6193,6738]"
2023-07-27T17:00:00+02:00,[60],[6754]
2023-07-27T17:11:00+02:00,[60],[6192]
2023-07-27T17:17:00+02:00,"[60,60,60,60,60,60,60]","[7393,7386,6938,7458,7506,7385,7441]"
2023-07-27T17:24:00+02:00,[60],[6810]
