start,duration,value
2023-07-28T19:49:00+02:00,[60],[0.36]
2023-07-28T19:51:00+02:00,"[60,61,59,60]","[2.69,0.64,0.31,0.27]"
2023-07-28T20:00:00+02:00,[60],[0.18]
2023-07-28T21:00:00+02:00,[60],[0.22]
2023-07-28T21:07:00+02:00,[60],[0.2]
2023-07-28T21:12:00+02:00,[60],[0.41]
2023-07-28T21:14:00+02:00,"[60,60,60,60]","[0,2.83,3.66,0.98]"
2023-07-28T21:18:00+02:00,[60],[0]
2023-07-28T21:20:00+02:00,"[60,60,60,60,60,60,60]","[0.94,1.09,0.27,0.57,0.27,1.45,0.23]"
2023-07-28T21:36:00+02:00,[60],[0.19]
2023-07-28T22:01:00+02:00,[60],[0.22]
2023-07-28T22:10:01+02:00,"[59,60,60,60,60,60,60,60,60,60,60,60]","[1.55,0.76,0.85,1.54,1.11,0,1.09,0.64,0,0,0,0]"
2023-07-28T22:24:00+02:00,"[60,60]","[0.19,1.42]"
2023-07-28T22:27:00+02:00,[60],[0.38]
2023-07-28T22:29:00+02:00,"[60,60,60,60,60,60,60]","[1.09,0,0.27,0,0,1.6,0.65]"
2023-07-28T22:37:00+02:00,[60],[0.65]
2023-07-28T23:09:00+02:00,"[60,60]","[0,0.28]"
2023-07-28T23:37:00+02:00,[60],[0.21]
2023-07-28T23:42:00+02:00,"[60,60]","[0.3,0.74]"
2023-07-28T23:45:00+02:00,"[60,60,60]","[2.25,0,0.35]"
2023-07-28T23:51:00+02:00,"[60,60,60,60]","[0.88,0.64,0,0.27]"
2023-07-28T23:57:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0.19,0.44,0,0,0.46,0.87,0.81,1.08,0.85,3.21,2.74,0.37,3.07,3.3,0.99,0]"
2023-07-28T22:09:09+02:00,[50],[1.643]
2023-07-28T23:44:25+02:00,[34],[1.13]
2023-07-29T01:00:18+02:00,[41],[1.376]
2023-07-29T00:18:00+02:00,"[60,60,60,60]","[0.81,0,0.44,0]"
2023-07-29T00:24:00+02:00,[60],[0]
2023-07-29T00:32:00+02:00,[60],[0]
2023-07-29T00:43:00+02:00,[60],[0.2]
2023-07-29T00:49:00+02:00,[60],[0.18]
2023-07-29T00:52:00+02:00,[60],[0.58]
2023-07-29T00:56:00+02:00,[60],[0.19]
2023-07-29T01:01:00+02:00,"[60,60,60]","[1.15,0.35,0.48]"
2023-07-29T01:05:00+02:00,"[60,60]","[0.35,0.35]"
2023-07-29T01:08:00+02:00,[60],[0]
2023-07-29T01:10:00+02:00,"[60,60]","[0.27,1.69]"
2023-07-29T01:36:00+02:00,[60],[0.22]
2023-07-29T01:41:00+02:00,[60],[0.43]
2023-07-29T01:46:00+02:00,[60],[0.47]
2023-07-29T02:11:00+02:00,[60],[0.2]
2023-07-29T13:28:00+02:00,[60],[0.321]
2023-07-29T13:33:00+02:00,[60],[0.609]
2023-07-29T14:06:00+02:00,[60],[0.52]
2023-07-29T02:40:00+02:00,"[120,1140,660,180]","[0,0,0,0]"
2023-07-29T03:15:00+02:00,"[600,2460,300,840,1440,3660]","[0,0,0,0,0,0]"
2023-07-29T05:50:00+02:00,"[2400,1380,2280,600,180,1260,240,300,60,1080]","[0,0,0,0,0,0,0,0,0,0]"
2023-07-29T08:33:00+02:00,"[1560,480,1080,300,1200,1920,1080,420,2100,420]","[0,0,0,0,0,0,0,0,0,0]"
2023-07-29T11:29:00+02:00,"[1680,2460,2280,240,240,60]","[0,0,0,0,0,0]"
2023-07-27T15:46:00+02:00,[21],[0.702]
2023-07-27T16:13:01+02:00,[58],[1.906]
2023-07-27T16:14:00+02:00,"[60,57]","[1.969,1.9]"
2023-07-27T16:17:16+02:00,[43],[1.439]
2023-07-27T16:18:00+02:00,[48],[1.58]
